Host,Slide,SlideNum,Date,Parasite,Length,Head,Nervering,Excretorypore,AverageDiameter,MaxDiameter
R3,Knotts,1,11/18/2024,P1,280.63,0.95,21.46,31.01,3.22,3.429
R3,Knotts,1,11/18/2024,P2,287.622,1.264159209,21.51156727,31.77156129,3.299,3.429
R3,Knotts,1,11/18/2024,P3,269.094,1.03049492,20.39101578,30.15340364,3.315,3.392
R3,Knotts,1,11/18/2024,P4,308.828,0.983071483,21.02464802,30.03937467,3.299,3.671
R3,Knotts,1,11/18/2024,P5,273.505,1.113690792,21.71148608,31.73397196,2.978,3.287
R3,Knotts,1,11/18/2024,P6,266.997,1.148702045,21.21746686,30.80184422,3.63,3.922
R3,Knotts,1,11/18/2024,P7,281.048,1.169551109,21.23765335,31.27579631,3.2037,3.583
R3,Knotts,1,11/18/2024,P8,266.019,1.446513219,21.48944248,29.57909022,3.083333333,3.189
R3,Knotts,1,11/18/2024,P9,291.346,1.138165618,21.09519266,30.62338251,3.307666667,3.61
R3,Knotts,1,11/18/2024,P10,286.299,1.144607561,21.29941076,32.49295317,3.365,3.79
R3,Knotts,2,11/18/2024,P1,275.179,1.17305463,21.49946035,30.74798586,3.073,3.287
R3,Knotts,2,11/18/2024,P2,260.984,1.167121356,21.84463415,31.01301229,3.421333333,3.671
R3,Knotts,2,11/18/2024,P3,289.271,0.789225328,21.42316375,30.42856007,3.193,3.277
R3,Knotts,2,11/18/2024,P4,267.298,1.13955211,20.57740799,30.37920224,3.289333333,3.392
R3,Knotts,2,11/18/2024,P5,280.067,1.328967711,21.40916281,31.99948584,3.542666667,3.636
R3,Knotts,2,11/18/2024,P6,287.835,1.069015234,21.5470669,31.78209738,3.303,3.316
R3,Knotts,2,11/18/2024,P7,290.092,1.017263489,21.74482578,31.87954166,3.312,3.529
R3,Knotts,2,11/18/2024,P8,279.126,0.997757285,21.26924758,30.70620437,3.196666667,3.277
R3,Knotts,2,11/18/2024,P9,285.282,1.178833575,21.42231196,30.72538751,2.937,3.277
R5,Knotts,1,11/18/2024,P1,290.594,1.436024144,21.78985113,31.84511724,3.401,3.583
R5,Knotts,1,11/18/2024,P2,276.875,1.425191874,21.66501129,31.61462754,3.782333333,3.922
R5,Knotts,1,11/18/2024,P3,305.838,1.290225544,22.34516313,31.82076786,4.085333333,4.293
R5,Knotts,1,11/18/2024,P4,274.608,1.56331935,21.75391831,31.37235623,4.597,4.953
R5,Knotts,1,11/18/2024,P5,279.122,1.228495067,22.40812261,31.09966251,3.357066667,3.636
R5,Knotts,1,11/18/2024,P6,284.931,1.276098424,21.23321085,31.19351703,3.595,3.61
R5,Knotts,1,11/18/2024,P7,279.364,1.34161882,22.09948311,32.11508999,3.067333333,3.392
R5,Knotts,1,11/18/2024,P8,275.999,1.576817307,22.02906532,30.6780097,3.302333333,3.502
R5,Knotts,1,11/18/2024,P9,294.662,1.082256959,21.79955339,30.77254617,2.941666667,3.159
R5,Knotts,1,11/18/2024,P10,270.628,1.152135034,21.52474984,32.16888127,3.046,3.077
R5,Knotts,1,11/18/2024,P11,278.75,0.961434978,23.11390135,32.74618834,3.590333333,3.722
R5,Knotts,1,11/18/2024,P12,321.509,1.06653313,21.47715927,30.29495286,2.742333333,2.874
R5,Knotts,1,11/18/2024,P13,315.598,1.219272619,21.7181351,31.70203867,2.943333333,3.159
R5,Knotts,1,11/18/2024,P14,282.3,1.472901169,21.39142756,31.98157988,2.949,3.077
R5,Knotts,1,11/18/2024,P15,303.677,1.24507289,22.57760713,32.10977453,3.346666667,3.61
R5,Knotts,2,11/18/2024,P1,289.1919,0.993803768,21.60779745,31.29963184,3.376333333,3.565
R5,Knotts,2,11/18/2024,P2,302.026,0.951573706,21.87560011,30.71192546,3.213,3.316
R5,Knotts,2,11/18/2024,P3,277.864,1.348861313,22.35877983,32.27838079,3.279666667,3.363
R5,Knotts,2,11/18/2024,P4,292.834,1.119064043,21.45652486,29.25275071,3.105666667,3.429
R5,Knotts,2,11/18/2024,P5,283.236,0.979042212,22.03462837,31.93449985,2.704333333,2.819
R5,Knotts,2,11/18/2024,P6,287.338,1.428283067,21.91147708,31.97523474,3.434333333,3.511
R5,Knotts,2,11/18/2024,P7,292.008,0.96538451,22.61170927,32.0847374,3.327,3.429
R5,Knotts,2,11/18/2024,P8,286.167,1.261501151,21.70061537,34.55325037,3.199666667,3.287
R5,Knotts,2,11/18/2024,P9,296.717,1.050832949,21.1379867,32.05748238,3.163666667,3.277
R5,Knotts,2,11/18/2024,P10,298.307,1.133731357,22.01021096,31.90706219,3.157333333,3.277
R5,Knotts,2,11/18/2024,P11,277.187,1.223722613,21.66732206,32.28001313,3.087666667,3.287
R5,Knotts,2,11/18/2024,P12,283.1,1.323913811,21.48286824,31.34086895,2.693333333,3.025
R5,Knotts,2,11/18/2024,P13,289.783,1.293381599,22.15864975,32.00187727,3.137,3.277
R5,Knotts,2,11/18/2024,P14,297.338,1.316347053,21.7220806,31.40802723,3.150666667,3.392
R5,Knotts,2,11/18/2024,P15,285.465,1.229923108,20.86420402,32.48559368,3.418,3.538
R5,Knotts,2,11/18/2024,P16,291.736,1.054720706,23.07360079,32.45708449,3.224,3.529
R5,Knotts,2,11/18/2024,P17,307.734,1.099001085,21.43312081,31.57824615,3.845,4.104
R5,Knotts,2,11/18/2024,P18,294.873,1.162873508,22.21803963,31.5362885,3.462,3.748
R5,Knotts,2,11/18/2024,P19,297.395,1.101901511,21.95732948,31.36602835,3.640333333,3.856
R5,Knotts,2,11/18/2024,P20,288.251,1.337723026,21.71024558,31.21064628,3.347,3.636
R5,Knotts,2,11/18/2024,P21,292.829,1.223580998,21.83526905,30.80876553,3.257333333,3.363
R5,Knotts,2,11/18/2024,P22,273.175,1.387389036,21.9749245,31.23272627,2.989333333,3.118
R5,Knotts,2,11/18/2024,P23,296.311,1.052272781,22.43757404,31.77911046,3.461,3.549
R4,Wright-Giemsa,2,10/24/2024,P1,240.402,,,,3.415,3.671
R4,Wright-Giemsa,2,10/24/2024,P2,247.308,,,,3.29,3.316
R4,Wright-Giemsa,2,10/24/2024,P3,252.29,,,,3.188333333,3.429
R4,Wright-Giemsa,2,10/24/2024,P4,230.467,,,,3.700333333,4.034
R4,Wright-Giemsa,2,10/24/2024,P5,226.551,,,,3.858,4.489
R4,Wright-Giemsa,2,10/24/2024,P6,244.534,,,,3.892333333,4.286
R4,Wright-Giemsa,2,10/24/2024,P7,242.198,,,,3.571666667,4.065
R4,Wright-Giemsa,2,10/24/2024,P8,240.624,,,,3.468,3.84
R4,Wright-Giemsa,2,10/24/2024,P9,236.416,,,,3.376333333,3.565
R4,Wright-Giemsa,2,10/24/2024,P10,228.627,,,,3.610333333,3.656
R4,Wright-Giemsa,2,10/24/2024,P11,239.747,,,,3.804666667,4.006
R4,Wright-Giemsa,2,10/24/2024,P12,241.303,,,,3.8,3.914
R4,Wright-Giemsa,2,10/24/2024,P13,232.835,,,,3.891333333,4.104
R4,Wright-Giemsa,2,10/24/2024,P14,255.022,,,,3.809666667,3.986
R4,Wright-Giemsa,2,10/24/2024,P15,252.539,,,,3.947333333,4.286
R4,Wright-Giemsa,2,10/24/2024,P16,238.933,,,,4.006666667,4.286
R4,Wright-Giemsa,2,10/24/2024,P17,232.794,,,,3.794333333,3.856
R4,Wright-Giemsa,2,10/24/2024,P18,229.111,,,,3.809666667,4.308
R4,Wright-Giemsa,2,10/24/2024,P19,237.809,,,,3.576666667,3.636
R4,Wright-Giemsa,2,10/24/2024,P20,238.316,,,,4.355666667,4.648
R4,Wright-Giemsa,2,10/24/2024,P21,241.934,,,,3.725,3.856
R4,Wright-Giemsa,2,10/24/2024,P22,241.229,,,,3.704333333,3.781
R4,Wright-Giemsa,2,10/24/2024,P23,244.251,,,,3.873666667,4.041
R4,Wright-Giemsa,2,10/24/2024,P24,226.766,,,,3.656,3.748
R4,Wright-Giemsa,2,10/24/2024,P25,238.388,,,,3.923,4.173
R3,Wright-Giemsa,1,10/24/2024,P1,183.572,,,,3.083333333,3.429
R3,Wright-Giemsa,1,10/24/2024,P2,177.301,,,,2.620333333,2.819
R3,Wright-Giemsa,1,10/24/2024,P3,205.74,,,,2.985666667,3.209
R3,Wright-Giemsa,1,10/24/2024,P4,232.343,,,,3.476,3.722
R5,Wright-Giemsa,1,10/24/2024,P1,262.166,,,,3.511,3.722
R5,Wright-Giemsa,1,10/24/2024,P2,224.23,,,,2.59,2.715
R5,Wright-Giemsa,1,10/24/2024,P3,231.152,,,,2.977333333,3.118
R5,Wright-Giemsa,1,10/24/2024,P4,197.732,,,,2.441333333,2.534
R3,Knotts,3,11/11/2024,P1,274.755,1.433276919,21.78304307,32.21779403,3.425333333,3.502
R3,Knotts,3,11/11/2024,P2,291.268,1.108257687,22.50848016,32.81170606,3.385,3.565
R3,Knotts,3,11/11/2024,P3,264.531,1.571838461,23.20332967,32.60411823,3.567,3.636
R3,Knotts,3,11/11/2024,P4,290.409,1.669714093,23.44796477,33.01722743,3.019333333,3.159
R3,Knotts,3,11/11/2024,P5,289.769,1.307938392,22.75709272,32.16458627,3.207666667,3.316
R3,Knotts,3,11/11/2024,P6,257.917,1.020483334,22.27073051,30.86264186,2.624666667,2.819
R3,Knotts,3,11/11/2024,P7,293.971,0.977647455,21.07826963,30.8387562,2.962666667,3.067
R3,Knotts,3,11/11/2024,P8,282.988,1.247049345,22.09210285,31.93704327,3.353666667,3.429
R3,Knotts,3,11/11/2024,P9,278.308,1.094470874,21.9788867,31.37243629,2.896,3.046
R3,Knotts,4,11/11/2024,P1,303.827,1.89219523,22.42065386,31.8141574,3.197333333,3.315
R3,Knotts,4,11/11/2024,P2,286.813,1.182652111,21.35991046,30.50524209,3.197333333,3.315
R3,Knotts,4,11/11/2024,P3,277.679,1.418184306,22.06324569,31.54109601,3.197333333,3.315
R3,Knotts,4,11/11/2024,P4,290.573,0.989080197,21.75769944,31.51428385,3.197333333,3.315
R5,Knotts,3,11/11/2024,P1,278.388,1.46019225,20.92762619,31.52326968,2.857,3.025
R5,Knotts,3,11/11/2024,P2,280.112,1.253427201,21.83912149,32.69049523,3.171,3.287
R5,Knotts,3,11/11/2024,P3,287.795,0.880487847,22.46147431,33.08813565,2.808333333,3.189
R5,Knotts,3,11/11/2024,P4,292.04,1.381317628,21.19641145,30.27051089,3.035666667,3.046
R5,Knotts,3,11/11/2024,P5,280.908,1.54926168,22.13215715,32.4536859,3.036666667,3.118
R5,Knotts,3,11/11/2024,P6,273.375,1.240786465,21.85788752,32.73561957,3.362666667,3.429
R5,Knotts,3,11/11/2024,P7,288.073,1.10701107,23.57353865,33.08397524,2.769,2.951
R5,Knotts,3,11/11/2024,P8,272.991,1.256085365,23.32091534,33.16482961,2.974666667,3.277
R5,Knotts,3,11/11/2024,P9,287.057,1.12451534,21.1543352,31.56028245,2.777,2.785
R5,Knotts,3,11/11/2024,P10,297.391,1.326872703,21.57429108,31.15561668,2.650666667,2.785
R5,Knotts,3,11/11/2024,P11,305.863,1.032815345,21.998738,32.45341869,3.213,3.316
R4,Wright-Giemsa,1,10/24/2024,P1,247,,,,2.2,2.378
R4,Wright-Giemsa,1,10/24/2024,P2,214,,,,2.3,2.269
R4,Wright-Giemsa,1,10/24/2024,P3,249,,,,2.2,2.269
R4,Wright-Giemsa,1,10/24/2024,P4,248,,,,2.6,2.773
R4,Wright-Giemsa,1,10/24/2024,P5,261,,,,2.4,2.521
R4,Wright-Giemsa,1,10/24/2024,P6,242,,,,2.4,2.571
R4,Wright-Giemsa,1,10/24/2024,P7,258,,,,2.5,2.521
R4,Wright-Giemsa,1,10/24/2024,P8,241,,,,2.4,2.393
R4,Wright-Giemsa,1,10/24/2024,P9,247,,,,2.2,2.255
R4,Wright-Giemsa,1,10/24/2024,P10,249,,,,2.1,2.255
R4,Wright-Giemsa,1,10/24/2024,P11,243,,,,2.6,2.727
R4,Wright-Giemsa,1,10/24/2024,P12,243,,,,2.4,2.534
R4,Wright-Giemsa,1,10/24/2024,P13,234,,,,2.1,2.269
R4,Wright-Giemsa,1,10/24/2024,P14,242,,,,2.4,2.483
R4,Wright-Giemsa,1,10/24/2024,P15,228,,,,2.7,2.727
